V200011a,V202144,V201200,V202064,V202064z,V202637,V201549x,V203000
0.702311913689108,60,6,-1,-3,-1,1,8
0.967691578802249,0,99,-1,-3,-1,1,42
0.520042150260169,0,5,-1,-3,-1,1,6
1.89809646730569,-6,5,-6,-3,-6,1,17
1.1189910138115,100,5,-1,-3,-1,1,34
3.15602096917607,20,3,-1,-3,-1,1,39
0.937008179056379,50,3,-1,-3,-1,3,6
1.26669277128667,100,6,-1,-3,-1,1,18
1.29667002312249,0,4,-1,-3,-1,4,6
0.305623173177443,0,99,-1,-3,-1,6,39
1.88981208649701,0,6,-1,-3,-1,1,40
0.971101446182605,0,3,-1,-3,-1,1,25
0.576164241684336,0,2,-1,-3,-1,1,48
0.641972102121984,0,3,-1,-3,-1,3,48
1.53151598919042,70,99,-1,-3,-1,1,12
1.61108170572562,100,7,-1,-3,-1,1,1
0.548843189848229,0,4,-1,-3,-1,1,20
0.604437986207493,0,4,-1,-3,-1,1,24
0.755201495304905,0,99,-1,-3,-1,1,26
2.80875186413701,60,4,-1,-3,-1,3,30
0.609938183565143,0,2,-1,-3,-1,1,24
0.531084740740743,0,4,-1,-3,-1,2,17
1.29783708479888,0,1,-1,-3,-1,4,36
1.03225338071581,30,99,-1,-3,-1,5,17
0.240663527043368,100,99,-1,-3,-1,1,27
0.931539839592388,-6,99,-6,-3,-6,3,48
1.320902857058,100,7,-1,-3,-1,1,54
0.412816318052369,0,99,-1,-3,-1,1,39
1.05561429496694,0,3,-1,-3,-1,1,25
0.733280786391386,0,3,-1,-3,-1,1,6
0.502131137343857,0,2,-1,-3,-1,1,4
1.00397679550638,20,3,-1,-3,-1,1,4
0.7875317758658,65,7,-1,-3,-1,1,1
0.613989868226532,100,99,-1,-3,-1,1,39
0.585269192317775,0,3,-1,-3,-1,1,42
0.31195235229111,30,3,-1,-3,-1,3,12
0.540239107874305,0,1,-1,-3,-1,5,34
0.79726862366169,0,6,-1,-3,-1,1,12
0.624276133001847,100,7,-1,-3,-1,1,42
0.724032683180959,50,2,-1,-3,-1,3,6
0.732281098201388,50,6,-1,-3,-1,4,17
3.03871548952843,100,99,-1,-3,-1,1,39
0.534435116848798,100,6,-1,-3,-1,1,12
3.06897774136195,85,6,-1,-3,-1,1,13
0.733929372248753,85,6,-1,-3,-1,1,45
0.679458474199385,0,3,-1,-3,-1,1,26
0.73305430655836,0,2,-1,-3,-1,1,33
0.900187350673712,0,5,-1,-3,-1,3,48
0.755695915084172,0,99,-1,-3,-1,2,6
0.732811119073567,100,4,-1,-3,-1,1,42
0.479429467017563,0,99,-1,-3,-1,2,9
1.55610832733203,-6,7,-6,-3,-6,1,16
0.588531944672513,60,5,-1,-3,-1,5,16
0.608567471951091,0,7,-1,-3,-1,3,48
0.76570943558752,85,5,-1,-3,-1,1,30
1.00944832297604,85,6,-1,-3,-1,1,5
0.57385242263635206,0,3,-1,-3,-1,4,55
0.964765517757245,0,2,-1,-3,-1,1,48
0.368727594861023,0,4,-1,-3,-1,1,18
0.331826933207328,0,2,-1,-3,-1,1,18
1.10576091920893,-6,2,-6,-3,-6,6,48
1.41204531998041,0,99,-1,-3,-1,3,12
1.72997115012462,90,99,-1,-3,-1,1,42
2.66487005537689,-6,99,-6,-3,-6,2,36
0.495797210762399,85,4,-1,-3,-1,1,47
0.469214212745751,0,99,-1,-3,-1,2,45
0.69873818686154,-7,99,-7,-3,-7,1,5
1.04895980526411,-6,6,-6,-3,-6,1,6
